code	title_sv	parent	depth	breadcrumb	table
64.ECC/1	Bildöverföringssystem – TV-övervakningssystem	64.ECC	2	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.E Telekommunikationssystem > 64.EC Ljudöverföringssystem och bildöverföringssystem > 64.ECC Bildöverföringssystem > 64.ECC/1 Bildöverföringssystem – TV-övervakningssystem	byggdel
64.ECC/2	Bildöverföringssystem – kabel-TV-system	64.ECC	2	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.E Telekommunikationssystem > 64.EC Ljudöverföringssystem och bildöverföringssystem > 64.ECC Bildöverföringssystem > 64.ECC/2 Bildöverföringssystem – kabel-TV-system	byggdel
64.ECD	Bildvisningssystem	64.EC	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.E Telekommunikationssystem > 64.EC Ljudöverföringssystem och bildöverföringssystem > 64.ECD Bildvisningssystem	byggdel
64.ECE	Radiokommunikationssystem	64.EC	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.E Telekommunikationssystem > 64.EC Ljudöverföringssystem och bildöverföringssystem > 64.ECE Radiokommunikationssystem	byggdel
64.ED	Datakommunikationssystem	64.E	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.E Telekommunikationssystem > 64.ED Datakommunikationssystem	byggdel
64.EDB	Lokala datanätsystem	64.ED	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.E Telekommunikationssystem > 64.ED Datakommunikationssystem > 64.EDB Lokala datanätsystem	byggdel
64.EE	Telefonväxelsystem	64.E	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.E Telekommunikationssystem > 64.EE Telefonväxelsystem	byggdel
64.M	Gemensamma strömförsörjningssystem för telesystem	64	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.M Gemensamma strömförsörjningssystem för telesystem	byggdel
64.MB	System för likströmsförsörjning	64.M	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.M Gemensamma strömförsörjningssystem för telesystem > 64.MB System för likströmsförsörjning	byggdel
64.MC	System för växelströmsförsörjning	64.M	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.M Gemensamma strömförsörjningssystem för telesystem > 64.MC System för växelströmsförsörjning	byggdel
64.Q	Teletekniska styrsystem	64	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.Q Teletekniska styrsystem	byggdel
64.QB	System för öppning av brandventilatorer m m	64.Q	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.Q Teletekniska styrsystem > 64.QB System för öppning av brandventilatorer m m	byggdel
64.QC	System för stängning av brandspjäll m m	64.Q	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.Q Teletekniska styrsystem > 64.QC System för stängning av brandspjäll m m	byggdel
64.QD	System för start av rökgasfläktar	64.Q	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.Q Teletekniska styrsystem > 64.QD System för start av rökgasfläktar	byggdel
64.QE	System för fläktavstängning vid brand	64.Q	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.Q Teletekniska styrsystem > 64.QE System för fläktavstängning vid brand	byggdel
64.QF	System för stängning av branddörrar	64.Q	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.Q Teletekniska styrsystem > 64.QF System för stängning av branddörrar	byggdel
64.QG	System för aktivering av automatiska brandsläckningssystem	64.Q	1	6 EL- OCH TELESYSTEM > 64 TELESYSTEM > 64.Q Teletekniska styrsystem > 64.QG System för aktivering av automatiska brandsläckningssystem	byggdel
66	SYSTEM FÖR SPÄNNINGSUTJÄMNING OCH ELEKTRISK SEPARATION	6	0	6 EL- OCH TELESYSTEM > 66 SYSTEM FÖR SPÄNNINGSUTJÄMNING OCH ELEKTRISK SEPARATION	byggdel
66.B	System för spänningsutjämning i elkraftsystem	66	1	6 EL- OCH TELESYSTEM > 66 SYSTEM FÖR SPÄNNINGSUTJÄMNING OCH ELEKTRISK SEPARATION > 66.B System för spänningsutjämning i elkraftsystem	byggdel
